Time,aat,temp_station,solar_station,lst,veg_p,man_p,wat_p,canopy_p
6/14/2019 11:32,25.38126984,24.56834215,885.6031746,40.05,0.18,0.82,0,0
6/14/2019 11:32,24.56,24.11111111,844,39.45,0.26,0.74,0,0
6/14/2019 11:32,27.00142857,24.25396826,866.2857143,39.05,0.2,0.79,0.01,0.14
6/14/2019 11:32,24.56,24.11111111,844,35.45,0.77,0.21,0,0.1
6/14/2019 11:32,24.75,24.11111111,844,39.95,0.16,0.84,0,0.06
6/14/2019 11:32,24.23285714,24.07142857,845.7857143,39.75,0.17,0.8,0,0.15
6/14/2019 11:32,24.51969697,24.42676768,873.1515152,40.65,0.27,0.66,0.05,0.05
6/14/2019 11:32,25.95789474,25.34429824,913.8421053,41.45,0.46,0.52,0.02,0.09
6/14/2019 11:32,24.349,24.11111111,844,34.15,0.67,0.33,0,0.1
6/14/2019 11:32,24.87,24.11111111,844,39.95,0.42,0.58,0,0.05
6/14/2019 11:32,24.65851852,24.32921811,863.537037,39.75,0,1,0,0.01
6/14/2019 11:32,24.06,24.11111111,844,33.15,0.58,0.39,0.03,0.07
6/14/2019 11:32,24.66,24.625,881.95,40.05,0,0.99,0,0.08
6/14/2019 11:32,24.31,24.72222222,883.5,39.55,0.53,0.47,0,0.17
6/14/2019 11:32,24.25,24.11111111,844,39.25,0.39,0.55,0.06,0.15
6/14/2019 11:32,24.81,24.11111111,844,39.15,0,1,0,0.01
6/14/2019 11:32,25.69,24.11111111,844,39.85,0.33,0.67,0,0.15
6/14/2019 11:32,25.315,24.11111111,844,38.55,0.14,0.86,0,0
6/14/2019 11:33,23.31,24.05555556,846.5,43.25,0.27,0.73,0,0.03
6/14/2019 11:33,25.25,24.05555556,846.5,42.35,0,1,0,0
6/14/2019 11:33,25.94,24.05555556,846.5,42.65,0,1,0,0
6/14/2019 11:33,23.5,24.05555556,846.5,39.65,0.35,0.65,0,0.04
6/14/2019 11:33,24.98666667,24.10127315,860.6597222,42.05,0,1,0,0.02
6/14/2019 11:33,23.855,24.25,860.875,35.65,0.38,0.6,0,0.18
6/14/2019 11:33,25.37,24.05555556,846.5,38.35,0.01,0.99,0,0.04
6/14/2019 11:33,23.25,24.05555556,846.5,38.45,0,1,0,0
6/14/2019 11:33,23.31,24.05555556,846.5,39.85,0.1,0.9,0,0.07
6/14/2019 11:33,25.12,24.33333333,871.25,38.35,0.59,0.41,0,0.13
6/14/2019 11:33,24.97,24.33333333,871.25,38.35,0.31,0.69,0,0.27
6/14/2019 11:33,24.49214286,24.22222222,860.6428571,38.75,0.33,0.67,0,0.13
6/14/2019 11:33,25.46,24.55555556,884.2,38.65,0.35,0.53,0,0.09
6/14/2019 11:33,23.905,24.33333333,868.75,38.35,0.59,0.41,0,0.15
6/14/2019 11:33,25,24.69444444,884.75,41.55,0.48,0.52,0,0.03
6/14/2019 11:33,28.315,24.40705128,877.3653846,39.05,0.28,0.71,0.01,0.06
6/14/2019 11:33,24.31,24.05555556,846.5,39.05,0.67,0.32,0.01,0.13
6/14/2019 11:33,23.9025,24.05555556,846.5,38.65,0.55,0.45,0,0.19
6/14/2019 11:33,23.44,24.05555556,846.5,40.75,0.36,0.64,0,0.02
6/14/2019 11:33,25.41666667,24.64814815,895.1666667,38.65,0.41,0.58,0,0.07
6/14/2019 11:33,23.5,24.05555556,846.5,40.45,0.49,0.51,0,0.02
6/14/2019 11:33,24.25,24.05555556,846.5,39.75,0.12,0.85,0.03,0.1
6/14/2019 11:33,24.4375,24.60416667,883.8125,39.65,0.11,0.89,0,0.04
6/14/2019 11:33,23.69,24.05555556,846.5,38.65,0.28,0.72,0,0.06
6/14/2019 11:33,24.22666667,24.60185185,889.5,39.35,0.43,0.57,0,0.06
6/14/2019 11:33,25.65571429,24.76984127,897.0714286,39.35,0.24,0.72,0,0.08
6/14/2019 11:33,24.21833333,24.56481482,881.25,37.85,0,1,0,0.1
6/14/2019 11:33,26.96125,24.62847222,884.0625,38.05,0.52,0.48,0,0.08
6/14/2019 11:33,28.05545455,24.76767677,891.0909091,38.45,0.09,0.89,0.02,0.08
6/14/2019 11:33,24.68714286,24.83730159,898.2142857,40.45,0.54,0.42,0.03,0.12
6/14/2019 11:33,28.65526316,24.63450292,893.6315789,37.25,0.35,0.65,0,0.02
6/14/2019 11:33,27.62181818,24.92003367,904.5151515,38.75,0.49,0.47,0.02,0.02
6/14/2019 11:33,24.69,24.05555556,846.5,35.55,0.94,0.06,0,0.23
6/14/2019 11:33,25.31,24.83333333,889,35.85,0.53,0.02,0.01,0.09
6/14/2019 11:33,25.47,24.05555556,846.5,41.25,0.23,0.76,0,0.04
6/14/2019 11:33,24.44,24.05555556,846.5,36.45,0.82,0.18,0,0.08
6/14/2019 11:34,25.10333333,24.75,886.5,36.25,0.15,0.85,0,0.08
6/14/2019 11:34,24.31,24,849,40.95,0,1,0,0.08
6/14/2019 11:34,24,24.30555556,870,33.55,0.74,0.14,0,0.16
6/14/2019 11:34,23.75,24,849,41.65,0,1,0,0.03
6/14/2019 11:34,26.08513369,24.17795603,863.7406417,42.55,0,1,0,0.04
6/14/2019 11:34,25.8575,24.77777778,893.625,37.95,0.69,0.3,0,0.03
6/14/2019 11:34,24.95875,24.41666667,874.375,41.25,0.16,0.73,0,0.03
6/14/2019 11:34,26.04857143,24.71428572,896.1428571,39.25,0.54,0.46,0,0.2
6/14/2019 11:34,24.595,24.33333333,872.5,41.85,0.23,0.43,0,0.01
6/14/2019 11:34,24.82833333,24.43518518,880.3333333,39.55,0.34,0.65,0,0.01
6/14/2019 11:34,23.87,24,849,38.75,0.06,0.94,0,0.02
6/14/2019 11:34,23.81,24,849,40.75,0.04,0.91,0,0.06
6/14/2019 11:34,24.685,24.31944444,872.5,38.25,0.55,0.45,0,0.1
6/14/2019 11:34,24.40888889,24.37037037,872.4444444,40.75,0.21,0.77,0,0.06
6/14/2019 11:34,24.19,24,849,35.85,0.49,0.51,0,0.01
6/14/2019 11:34,23.37,24,849,42.75,0.45,0.52,0,0.1
6/14/2019 11:34,23.87,24,849,39.05,0.37,0.55,0.08,0.15
6/14/2019 11:34,27.12846154,24.91452992,907.9615385,38.85,0.82,0.17,0,0.07
6/14/2019 11:34,31.19571429,24.80952381,909.4285714,41.05,0.47,0.51,0,0
6/14/2019 11:34,24.93076923,24.56196581,884.4230769,37.75,0.03,0.94,0,0.08
6/14/2019 11:34,23.62,24,849,32.65,0.43,0.53,0,0.01
6/14/2019 11:34,25.76821429,24.85912698,900.375,39.65,0.31,0.67,0,0.03
6/14/2019 11:34,24.405,24.44444444,878,41.05,0.32,0.68,0,0.16
6/14/2019 11:34,26.83058824,24.88888889,906.3823529,37.85,0.02,0.94,0,0.03
6/14/2019 11:34,26.63615385,24.76068376,897.4230769,37.55,0.2,0.8,0,0.13
6/14/2019 11:34,29.73443149,24.61750891,887.048105,36.65,0.01,0.99,0,0.04
6/14/2019 11:34,23.69,24,849,39.45,0.06,0.93,0.01,0.08
6/14/2019 11:34,23.28,24.01157407,850.0416667,42.45,0.34,0.64,0.02,0.17
6/14/2019 11:34,25.96892857,24.01884921,850.6964286,35.95,0.79,0.21,0,0.11
6/14/2019 11:34,24.53,24,849,39.65,0.3,0.7,0,0
6/14/2019 11:34,24.72,24,849,39.25,0.52,0.18,0.13,0.02
6/14/2019 11:34,24.685,24,849,40.85,0.04,0.96,0,0.01
6/14/2019 11:35,24.405,24.375,875.75,38.05,0.11,0.87,0.02,0.09
6/14/2019 11:35,23.75,24.02777778,851.5,37.65,0.66,0.28,0,0.05
6/14/2019 11:35,24.25,24.02777778,851.5,44.65,0.49,0.51,0,0.01
6/14/2019 11:35,23.56,24.02777778,851.5,38.65,0.14,0.85,0,0.02
6/14/2019 11:35,24.47,24.375,875.75,38.15,0.73,0.14,0,0.08
6/14/2019 11:35,24.34,24.375,875.75,37.55,0.61,0.22,0.01,0.07
6/14/2019 11:35,24.465,24.34722222,873.75,38.45,0.32,0.68,0,0.06
6/14/2019 11:35,24.56,24.34722222,873.75,40.45,0.25,0.75,0,0.05
6/14/2019 11:35,26.04,24.42592593,877.1666667,38.75,0.16,0.74,0,0.03
6/14/2019 11:35,23.25,24.02777778,851.5,34.15,0.82,0.18,0,0
6/14/2019 11:35,29.34428571,25,901.1428571,40.75,0.06,0.91,0.03,0.03
6/14/2019 11:35,24.70680473,24.43343195,881.8076923,40.15,0.04,0.96,0,0.09
6/14/2019 11:35,23.62,24.02777778,851.5,36.45,0.67,0.33,0,0.05
6/14/2019 11:35,25.1544,24.33111111,872.84,42.25,0,1,0,0
6/14/2019 11:35,24.03,24.02777778,851.5,40.35,0.16,0.84,0,0
6/14/2019 11:35,24.465,24.34722222,873.75,37.95,0.05,0.95,0,0.04
6/14/2019 11:36,24.77,24.40277778,873.1666667,40.45,0.13,0.87,0,0.04
6/14/2019 11:36,25.45642857,24.06944444,855,43.15,0,1,0,0.06
6/14/2019 11:36,24.06764706,24.10947712,857.7647059,40.65,0,1,0,0.05
6/14/2019 11:36,26.78,24.83333333,892.75,36.25,0.65,0.3,0,0.03
6/14/2019 11:36,24.31,24.38888889,877,40.45,0.2,0.8,0,0.01
6/14/2019 11:36,24.31,24.05555556,854,45.55,0,1,0,0.03
6/14/2019 11:36,23.94,24.05555556,854,45.85,0,1,0,0
6/14/2019 11:36,27.48833333,24.77777778,895.1666667,37.05,0.52,0.48,0,0.07
6/14/2019 11:36,24.87,24.05555556,854,34.45,0.57,0.4,0,0.03
6/14/2019 11:36,24.12,24.05555556,854,36.75,0.82,0.17,0,0
6/14/2019 11:36,23.62,24.05555556,854,33.65,0.99,0,0,0.06
6/14/2019 11:36,25.62,24.05555556,854,35.25,0.82,0.17,0,0.03
6/14/2019 11:36,24,24.05555556,854,41.55,0.09,0.91,0,0
6/14/2019 11:36,27,24.05555556,854,34.55,1,0,0,0.25
6/14/2019 11:36,24,24.05555556,854,36.15,0.82,0.18,0,0.02
6/14/2019 11:37,24.19,24.08333333,856,39.55,0.14,0.86,0,0.04
6/14/2019 11:37,24.435,24.43055556,880,40.05,0.28,0.72,0,0.03
6/14/2019 11:37,24.34,24.43055556,880,38.15,0.6,0.4,0,0.15
